frame_id,timestamp_ms,x1,y1,x2,y2,status,track_state,occlusion_age,detector_source,x_cam,y_cam,z_cam,x_world,y_world,z_world,conf,x_world_raw,y_world_raw,z_world_raw,x_world_filt,y_world_filt,z_world_filt,sigma_x,sigma_y,sigma_z,mu_stationary,gate_d2
53,1768,699.50,477.96,1262.13,876.39,detected,CONFIRMED,0,blue_hsv_shape,0.0254,0.1437,1.4947,1.1252,-0.0189,0.3250,0.943,1.1420,-0.0254,0.3250,1.1252,-0.0189,0.3250,0.0391,0.0391,0.0391,0.705,0.0354
54,1802,698.64,478.02,1265.47,877.00,detected,STATIONARY,0,blue_hsv_shape,0.0269,0.1442,1.4939,1.1254,-0.0210,0.3250,0.945,1.1410,-0.0269,0.3250,1.1254,-0.0210,0.3250,0.0391,0.0391,0.0391,0.732,0.0055
55,1835,698.10,478.95,1272.22,895.82,detected,CONFIRMED,0,blue_hsv_shape,0.0303,0.1616,1.4690,1.1203,-0.0233,0.3250,0.911,1.1107,-0.0303,0.3250,1.1203,-0.0233,0.3250,0.0392,0.0392,0.0392,0.711,0.0115
56,1869,695.14,478.46,1278.79,889.94,detected,CONFIRMED,0,blue_hsv_shape,0.0326,0.1562,1.4767,1.1176,-0.0259,0.3250,0.946,1.1201,-0.0326,0.3250,1.1176,-0.0259,0.3250,0.0392,0.0392,0.0392,0.711,0.0309
57,1902,693.47,478.44,1284.29,886.95,detected,STATIONARY,0,blue_hsv_shape,0.0350,0.1535,1.4807,1.1164,-0.0285,0.3250,0.945,1.1248,-0.0350,0.3250,1.1164,-0.0285,0.3250,0.0391,0.0391,0.0391,0.722,0.0084
58,1935,692.51,478.56,1287.06,885.37,detected,STATIONARY,0,blue_hsv_shape,0.0361,0.1520,1.4827,1.1160,-0.0310,0.3250,0.946,1.1274,-0.0361,0.3250,1.1160,-0.0310,0.3250,0.0391,0.0391,0.0391,0.738,0.0072
59,1969,690.15,478.70,1289.00,884.29,detected,STATIONARY,0,blue_hsv_shape,0.0359,0.1510,1.4842,1.1163,-0.0330,0.3250,0.943,1.1291,-0.0359,0.3250,1.1163,-0.0330,0.3250,0.0391,0.0391,0.0391,0.758,0.0229
60,2002,689.04,478.86,1292.66,884.09,detected,STATIONARY,0,blue_hsv_shape,0.0374,0.1508,1.4844,1.1168,-0.0351,0.3250,0.941,1.1294,-0.0374,0.3250,1.1168,-0.0351,0.3250,0.0391,0.0391,0.0391,0.777,0.0112
61,2035,688.54,478.96,1295.46,883.97,detected,STATIONARY,0,blue_hsv_shape,0.0388,0.1507,1.4846,1.1175,-0.0370,0.3250,0.941,1.1296,-0.0388,0.3250,1.1175,-0.0370,0.3250,0.0391,0.0391,0.0391,0.794,0.0161
62,2069,687.03,479.02,1299.11,883.91,detected,STATIONARY,0,blue_hsv_shape,0.0401,0.1507,1.4847,1.1183,-0.0389,0.3250,0.938,1.1297,-0.0401,0.3250,1.1183,-0.0389,0.3250,0.0391,0.0391,0.0391,0.809,0.0139
63,2102,686.14,479.06,1300.99,883.89,detected,STATIONARY,0,blue_hsv_shape,0.0407,0.1507,1.4847,1.1192,-0.0405,0.3250,0.938,1.1298,-0.0407,0.3250,1.1192,-0.0405,0.3250,0.0391,0.0391,0.0391,0.823,0.0117
64,2135,685.71,479.07,1301.72,883.89,detected,STATIONARY,0,blue_hsv_shape,0.0409,0.1507,1.4847,1.1201,-0.0419,0.3250,0.939,1.1297,-0.0409,0.3250,1.1201,-0.0419,0.3250,0.0391,0.0391,0.0391,0.836,0.0101
65,2169,685.66,479.07,1302.78,883.90,detected,STATIONARY,0,blue_hsv_shape,0.0415,0.1507,1.4847,1.1210,-0.0431,0.3250,0.938,1.1297,-0.0415,0.3250,1.1210,-0.0431,0.3250,0.0391,0.0391,0.0391,0.848,0.0083
66,2202,685.71,479.78,1303.17,900.73,detected,STATIONARY,0,blue_hsv_shape,0.0413,0.1661,1.4626,1.1169,-0.0441,0.3250,0.925,1.1029,-0.0413,0.3250,1.1169,-0.0441,0.3250,0.0392,0.0392,0.0392,0.837,0.0402
67,2236,685.86,479.15,1303.11,912.13,detected,STATIONARY,0,blue_hsv_shape,0.0410,0.1764,1.4480,1.1101,-0.0447,0.3250,0.924,1.0850,-0.0410,0.3250,1.1101,-0.0447,0.3250,0.0392,0.0392,0.0392,0.806,0.0533
