frame_id,timestamp_ms,x_world_raw_strict,y_world_raw_strict,x_world_filtered_strict,y_world_filtered_strict,x_world_raw_waypoint_calibrated,y_world_raw_waypoint_calibrated,x_world_filtered_waypoint_calibrated,y_world_filtered_waypoint_calibrated,z_world
114,3804,2.7340,0.3627,2.8035,0.3811,5.6561,-0.5153,5.8782,-0.5001,0.3250
115,3837,2.7365,0.3723,2.8002,0.3905,5.6498,-0.5316,5.8513,-0.5202,0.3250
116,3871,2.8002,0.3936,2.8082,0.4018,5.8466,-0.5259,5.8624,-0.5357,0.3250
117,3904,2.8504,0.4140,2.8240,0.4146,5.9957,-0.5284,5.8991,-0.5485,0.3250
118,3937,2.8808,0.4251,2.8430,0.4271,6.0881,-0.5274,5.9481,-0.5584,0.3250
119,3971,2.8469,0.4333,2.8529,0.4388,5.9522,-0.5672,5.9651,-0.5732,0.3250
120,4004,2.8330,0.4454,2.8581,0.4504,5.8827,-0.6000,5.9657,-0.5914,0.3250
121,4037,2.8309,0.4604,2.8616,0.4626,5.8511,-0.6298,5.9587,-0.6118,0.3250
122,4071,2.8366,0.4742,2.8648,0.4750,5.8498,-0.6517,5.9508,-0.6329,0.3250
123,4104,2.8398,0.4808,2.8675,0.4863,5.8511,-0.6618,5.9426,-0.6522,0.3250
124,4137,2.8488,0.4945,2.8709,0.4980,5.8617,-0.6811,5.9361,-0.6718,0.3250
125,4171,2.8617,0.5109,2.8756,0.5104,5.8823,-0.7027,5.9333,-0.6919,0.3250
126,4204,2.9430,0.5374,2.8944,0.5256,6.1346,-0.6943,5.9772,-0.7069,0.3250
127,4238,2.9428,0.5530,2.9105,0.5410,6.1090,-0.7238,6.0112,-0.7244,0.3250
128,4271,2.9397,0.5600,2.9237,0.5551,6.0866,-0.7392,6.0365,-0.7414,0.3250
129,4304,2.9489,0.5807,2.9365,0.5705,6.0867,-0.7716,6.0580,-0.7613,0.3250
130,4338,2.9580,0.5984,2.9488,0.5865,6.0917,-0.7984,6.0770,-0.7827,0.3250
131,4371,2.9764,0.6152,2.9624,0.6029,6.1314,-0.8168,6.1001,-0.8038,0.3250
132,4404,2.9916,0.6324,2.9765,0.6197,6.1589,-0.8384,6.1246,-0.8253,0.3250
133,4438,2.9996,0.6408,2.9898,0.6352,6.1747,-0.8484,6.1482,-0.8448,0.3250
134,4471,3.0083,0.6510,3.0025,0.6498,6.1901,-0.8614,6.1708,-0.8632,0.3250
135,4504,3.0179,0.6616,3.0146,0.6637,6.2079,-0.8744,6.1928,-0.8806,0.3250
136,4538,3.0341,0.6736,3.0276,0.6771,6.2475,-0.8854,6.2184,-0.8967,0.3250
137,4571,3.1129,0.7006,3.0529,0.6931,6.4895,-0.8798,6.2845,-0.9086,0.3250
138,4605,3.1634,0.7164,3.0840,0.7091,6.6472,-0.8732,6.3715,-0.9165,0.3250
139,4638,3.1424,0.7204,3.1070,0.7231,6.5650,-0.8958,6.4326,-0.9262,0.3250
140,4671,3.1185,0.7239,3.1220,0.7350,6.4729,-0.9195,6.4677,-0.9380,0.3250
141,4705,3.1131,0.7526,3.1332,0.7499,6.4075,-0.9774,6.4847,-0.9579,0.3250
142,4738,3.1294,0.7782,3.1449,0.7667,6.4258,-1.0140,6.5004,-0.9812,0.3250
143,4771,3.1382,0.7920,3.1559,0.7833,6.4356,-1.0337,6.5135,-1.0045,0.3250
144,4805,3.1508,0.8059,3.1667,0.7995,6.4590,-1.0508,6.5271,-1.0272,0.3250
145,4838,3.1633,0.8188,3.1776,0.8152,6.4837,-1.0662,6.5414,-1.0491,0.3250
146,4872,3.1759,0.8307,3.1885,0.8303,6.5104,-1.0796,6.5568,-1.0697,0.3250
147,4905,3.2416,0.8550,3.2093,0.8471,6.7097,-1.0781,6.6053,-1.0864,0.3250
148,4938,3.2846,0.8687,3.2350,0.8635,6.8437,-1.0729,6.6725,-1.0988,0.3250
149,4972,3.3174,0.8801,3.2631,0.8790,6.9443,-1.0709,6.7491,-1.1079,0.3250
150,5005,3.3425,0.8921,3.2913,0.8940,7.0158,-1.0755,6.8277,-1.1157,0.3250
151,5038,3.3645,0.9077,3.3196,0.9090,7.0706,-1.0892,6.9061,-1.1237,0.3250
152,5072,3.3198,0.9066,3.3350,0.9209,6.9108,-1.1191,6.9429,-1.1352,0.3250
153,5105,3.2899,0.9040,3.3417,0.9299,6.8065,-1.1357,6.9527,-1.1473,0.3250
154,5138,3.2769,0.9067,3.3437,0.9372,6.7551,-1.1501,6.9484,-1.1596,0.3250
155,5172,3.2719,0.9130,3.3432,0.9438,6.7270,-1.1655,6.9361,-1.1723,0.3250
156,5205,3.2819,0.9232,3.3436,0.9506,6.7469,-1.1776,6.9267,-1.1848,0.3250
157,5239,3.2905,0.9326,3.3443,0.9573,6.7632,-1.1891,6.9186,-1.1970,0.3250
158,5272,3.2947,0.9372,3.3446,0.9632,6.7711,-1.1948,6.9103,-1.2079,0.3250
159,5305,3.2993,0.9424,3.3447,0.9684,6.7796,-1.2012,6.9025,-1.2177,0.3250
160,5339,3.3173,0.9527,3.3479,0.9746,6.8281,-1.2078,6.9042,-1.2269,0.3250
161,5372,3.3122,0.9556,3.3483,0.9792,6.8053,-1.2168,6.8982,-1.2354,0.3250
162,5405,3.3109,0.9585,3.3476,0.9830,6.7958,-1.2232,6.8897,-1.2431,0.3250
163,5439,3.3110,0.9598,3.3464,0.9859,6.7941,-1.2257,6.8808,-1.2494,0.3250
164,5472,3.3151,0.9625,3.3456,0.9883,6.8046,-1.2277,6.8739,-1.2545,0.3250
165,5506,3.3249,0.9655,3.3462,0.9904,6.8353,-1.2264,6.8727,-1.2580,0.3250
166,5539,3.3136,0.9653,3.3439,0.9913,6.7949,-1.2340,6.8631,-1.2614,0.3250
167,5572,3.3087,0.9652,3.3406,0.9916,6.7771,-1.2375,6.8506,-1.2643,0.3250
168,5606,3.3072,0.9653,3.3371,0.9914,6.7716,-1.2386,6.8381,-1.2664,0.3250
169,5639,3.3072,0.9652,3.3336,0.9907,6.7718,-1.2386,6.8268,-1.2676,0.3250
170,5672,3.3165,0.9688,3.3323,0.9907,6.7996,-1.2387,6.8221,-1.2685,0.3250
171,5706,3.3192,0.9701,3.3314,0.9904,6.8073,-1.2392,6.8192,-1.2687,0.3250
172,5739,3.3173,0.9698,3.3301,0.9898,6.8010,-1.2400,6.8155,-1.2684,0.3250
173,5772,3.3137,0.9689,3.3281,0.9887,6.7893,-1.2408,6.8100,-1.2677,0.3250
174,5806,3.3130,0.9700,3.3260,0.9876,6.7852,-1.2433,6.8044,-1.2671,0.3250
175,5839,3.3122,0.9691,3.3240,0.9862,6.7838,-1.2422,6.7991,-1.2660,0.3250
176,5873,3.3538,0.9792,3.3297,0.9866,6.9181,-1.2315,6.8191,-1.2626,0.3250
177,5906,3.3815,0.9859,3.3398,0.9880,7.0076,-1.2243,6.8536,-1.2580,0.3250
178,5939,3.3986,0.9915,3.3521,0.9901,7.0609,-1.2224,6.8945,-1.2532,0.3250
179,5973,3.4116,0.9941,3.3653,0.9923,7.1037,-1.2180,6.9389,-1.2479,0.3250
180,6006,3.4187,0.9954,3.3783,0.9945,7.1271,-1.2155,6.9825,-1.2426,0.3250
181,6039,3.4118,0.9933,3.3887,0.9958,7.1055,-1.2164,7.0181,-1.2376,0.3250
182,6073,3.4121,0.9932,3.3976,0.9968,7.1068,-1.2160,7.0485,-1.2331,0.3250
183,6106,3.4144,0.9938,3.4054,0.9976,7.1145,-1.2153,7.0757,-1.2291,0.3250
184,6139,3.4207,0.9953,3.4131,0.9985,7.1345,-1.2138,7.1021,-1.2253,0.3250
185,6173,3.4248,0.9964,3.4203,0.9994,7.1479,-1.2128,7.1267,-1.2218,0.3250
186,6206,3.4271,0.9970,3.4267,1.0002,7.1552,-1.2123,7.1485,-1.2187,0.3250
187,6240,3.4278,0.9972,3.4320,1.0008,7.1574,-1.2122,7.1667,-1.2160,0.3250
188,6273,3.4275,0.9971,3.4361,1.0012,7.1563,-1.2123,7.1811,-1.2138,0.3250
189,6306,3.4265,0.9969,3.4392,1.0014,7.1531,-1.2125,7.1917,-1.2121,0.3250
190,6340,3.4255,0.9966,3.4412,1.0015,7.1500,-1.2128,7.1991,-1.2107,0.3250
191,6373,3.4243,0.9963,3.4423,1.0014,7.1459,-1.2131,7.2034,-1.2096,0.3250
192,6406,3.4230,0.9960,3.4427,1.0011,7.1419,-1.2134,7.2050,-1.2089,0.3250
193,6440,3.4219,0.9957,3.4424,1.0008,7.1385,-1.2137,7.2045,-1.2085,0.3250
194,6473,3.4208,0.9955,3.4415,1.0003,7.1349,-1.2139,7.2021,-1.2082,0.3250
195,6506,3.4202,0.9953,3.4403,0.9999,7.1329,-1.2141,7.1985,-1.2082,0.3250
196,6540,3.4199,0.9952,3.4389,0.9994,7.1319,-1.2142,7.1941,-1.2083,0.3250
197,6573,3.4198,0.9952,3.4374,0.9989,7.1315,-1.2142,7.1893,-1.2085,0.3250
198,6607,3.4198,0.9952,3.4358,0.9984,7.1314,-1.2142,7.1842,-1.2088,0.3250
199,6640,3.4198,0.9952,3.4341,0.9980,7.1316,-1.2142,7.1791,-1.2091,0.3250
200,6673,3.4287,0.9975,3.4343,0.9980,7.1602,-1.2121,7.1797,-1.2090,0.3250
201,6707,3.4308,0.9980,3.4347,0.9981,7.1669,-1.2116,7.1809,-1.2089,0.3250
202,6740,3.4285,0.9974,3.4345,0.9981,7.1595,-1.2121,7.1803,-1.2090,0.3250
203,6773,3.4244,0.9964,3.4335,0.9978,7.1464,-1.2131,7.1770,-1.2093,0.3250
204,6807,3.4207,0.9954,3.4318,0.9975,7.1344,-1.2140,7.1716,-1.2098,0.3250
205,6840,3.4095,0.9926,3.4280,0.9965,7.0987,-1.2166,7.1590,-1.2108,0.3250
206,6874,3.4079,0.9922,3.4242,0.9956,7.0935,-1.2170,7.1469,-1.2118,0.3250
207,6907,3.4101,0.9927,3.4213,0.9949,7.1004,-1.2165,7.1373,-1.2127,0.3250
208,6940,3.4136,0.9936,3.4194,0.9945,7.1118,-1.2156,7.1311,-1.2132,0.3250
209,6974,3.4172,0.9945,3.4184,0.9943,7.1232,-1.2148,7.1279,-1.2136,0.3250
210,7007,3.4200,0.9952,3.4181,0.9943,7.1322,-1.2141,7.1268,-1.2138,0.3250
211,7040,3.4220,0.9972,3.4183,0.9947,7.1363,-1.2165,7.1268,-1.2143,0.3250
212,7074,3.4230,0.9976,3.4187,0.9951,7.1392,-1.2165,7.1276,-1.2149,0.3250
