frame_id,timestamp_ms,status,x1,y1,x2,y2,bbox_width_px,bbox_height_px,conf,detector_source,raw_x_cam,raw_y_cam,raw_z_cam,filtered_x_cam,filtered_y_cam,filtered_z_cam,raw_x_world,raw_y_world,raw_z_world,filtered_x_world,filtered_y_world,filtered_z_world,height_x_cam,height_y_cam,height_z_cam,height_x_world,height_y_world,height_z_world,ground_model_centroid_x_cam,ground_model_centroid_y_cam,ground_model_centroid_z_cam,ground_model_centroid_x_world,ground_model_centroid_y_world,ground_model_centroid_z_world,ground_contact_x_world,ground_contact_y_world,ground_contact_z_world,strict_raw_x_world,strict_raw_y_world,strict_raw_z_world,strict_filtered_x_world,strict_filtered_y_world,strict_filtered_z_world,height_ground_depth_delta_m,height_ground_world_xy_delta_m,used_height_fallback,blur_laplacian_var,brightness_mean,contrast_std,is_blurry,is_low_light,flow_points,flow_quality
30,1001,detected,768.15,478.38,1178.41,832.75,410.26,354.37,0.913,blue_hsv_shape,0.0280,0.3023,2.8320,0.0280,0.3023,2.8320,2.6573,-0.0280,0.3250,2.6188,-0.0362,0.3250,0.0241,0.2102,2.5461,2.4050,-0.0241,0.4880,0.0280,0.3023,2.8320,2.6573,-0.0280,0.3250,2.6573,-0.0280,0.0000,2.6573,-0.0280,0.3250,2.6188,-0.0362,0.3250,0.2859,0.2523,0,126.9145,122.0838,71.9539,0,0,80,0.9800
31,1034,detected,766.25,478.38,1179.93,832.09,413.68,353.71,0.912,blue_hsv_shape,0.0276,0.3015,2.8350,0.0276,0.3015,2.8350,2.6604,-0.0276,0.3250,2.6203,-0.0351,0.3250,0.0239,0.2100,2.5511,2.4098,-0.0239,0.4869,0.0276,0.3015,2.8350,2.6604,-0.0276,0.3250,2.6604,-0.0276,0.0000,2.6604,-0.0276,0.3250,2.6203,-0.0351,0.3250,0.2839,0.2506,0,127.0230,121.9889,71.9710,0,0,80,0.9840
32,1068,detected,764.22,478.58,1180.72,833.19,416.50,354.61,0.913,blue_hsv_shape,0.0262,0.3029,2.8300,0.0262,0.3029,2.8300,2.6552,-0.0262,0.3250,2.6213,-0.0339,0.3250,0.0227,0.2106,2.5443,2.4031,-0.0227,0.4880,0.0262,0.3029,2.8300,2.6552,-0.0262,0.3250,2.6552,-0.0262,0.0000,2.6552,-0.0262,0.3250,2.6213,-0.0339,0.3250,0.2857,0.2521,0,127.1451,121.8099,71.9605,0,0,80,0.9817
33,1101,detected,763.11,478.72,1181.10,833.98,417.99,355.26,0.913,blue_hsv_shape,0.0255,0.3038,2.8265,0.0255,0.3038,2.8265,2.6516,-0.0255,0.3250,2.6221,-0.0326,0.3250,0.0220,0.2111,2.5395,2.3984,-0.0220,0.4888,0.0255,0.3038,2.8265,2.6516,-0.0255,0.3250,2.6516,-0.0255,0.0000,2.6516,-0.0255,0.3250,2.6221,-0.0326,0.3250,0.2870,0.2532,0,127.1411,121.8102,71.9606,0,0,80,1.0000
34,1134,detected,760.68,478.91,1181.09,835.95,420.40,357.04,0.912,blue_hsv_shape,0.0228,0.3062,2.8177,0.0228,0.3062,2.8177,2.6424,-0.0228,0.3250,2.6215,-0.0309,0.3250,0.0197,0.2120,2.5265,2.3855,-0.0197,0.4914,0.0228,0.3062,2.8177,2.6424,-0.0228,0.3250,2.6424,-0.0228,0.0000,2.6424,-0.0228,0.3250,2.6215,-0.0309,0.3250,0.2912,0.2569,0,127.0073,121.6429,71.9443,0,0,80,0.9820
35,1168,detected,758.37,479.08,1180.95,838.66,422.59,359.58,0.912,blue_hsv_shape,0.0202,0.3094,2.8056,0.0202,0.3094,2.8056,2.6300,-0.0202,0.3250,2.6192,-0.0289,0.3250,0.0173,0.2130,2.5081,2.3675,-0.0173,0.4951,0.0202,0.3094,2.8056,2.6300,-0.0202,0.3250,2.6300,-0.0202,0.0000,2.6300,-0.0202,0.3250,2.6192,-0.0289,0.3250,0.2975,0.2624,0,127.1553,121.4927,71.9206,0,0,80,0.9874
36,1201,detected,755.19,479.20,1180.71,841.78,425.52,362.58,0.911,blue_hsv_shape,0.0165,0.3131,2.7919,0.0165,0.3131,2.7919,2.6157,-0.0165,0.3250,2.6149,-0.0264,0.3250,0.0141,0.2141,2.4867,2.3466,-0.0141,0.4996,0.0165,0.3131,2.7919,2.6157,-0.0165,0.3250,2.6157,-0.0165,0.0000,2.6157,-0.0165,0.3250,2.6149,-0.0264,0.3250,0.3051,0.2691,0,126.9158,121.4624,71.8800,0,0,80,0.9872
37,1235,detected,752.43,479.30,1180.52,845.59,428.09,366.29,0.912,blue_hsv_shape,0.0134,0.3175,2.7753,0.0134,0.3175,2.7753,2.5985,-0.0134,0.3250,2.6082,-0.0237,0.3250,0.0114,0.2153,2.4608,2.3212,-0.0114,0.5051,0.0134,0.3175,2.7753,2.5985,-0.0134,0.3250,2.5985,-0.0134,0.0000,2.5985,-0.0134,0.3250,2.6082,-0.0237,0.3250,0.3145,0.2773,0,126.7280,121.3202,71.7829,0,0,80,0.9852
38,1268,detected,750.96,479.22,1180.45,847.84,429.49,368.62,0.912,blue_hsv_shape,0.0118,0.3201,2.7655,0.0118,0.3201,2.7655,2.5884,-0.0118,0.3250,2.6007,-0.0209,0.3250,0.0100,0.2158,2.4448,2.3057,-0.0100,0.5088,0.0118,0.3201,2.7655,2.5884,-0.0118,0.3250,2.5884,-0.0118,0.0000,2.5884,-0.0118,0.3250,2.6007,-0.0209,0.3250,0.3207,0.2828,0,126.5744,121.3289,71.7891,0,0,80,0.9999
39,1301,detected,747.54,479.18,1182.16,850.47,434.62,371.29,0.914,blue_hsv_shape,0.0100,0.3232,2.7542,0.0100,0.3232,2.7542,2.5767,-0.0100,0.3250,2.5921,-0.0181,0.3250,0.0084,0.2164,2.4267,2.2880,-0.0084,0.5129,0.0100,0.3232,2.7542,2.5767,-0.0100,0.3250,2.5767,-0.0100,0.0000,2.5767,-0.0100,0.3250,2.5921,-0.0181,0.3250,0.3275,0.2887,0,126.3093,121.2429,71.6942,0,0,80,0.9841
40,1335,detected,743.30,479.12,1185.63,852.86,442.33,373.74,0.917,blue_hsv_shape,0.0091,0.3259,2.7440,0.0091,0.3259,2.7440,2.5662,-0.0091,0.3250,2.5829,-0.0156,0.3250,0.0077,0.2170,2.4103,2.2720,-0.0077,0.5166,0.0091,0.3259,2.7440,2.5662,-0.0091,0.3250,2.5662,-0.0091,0.0000,2.5662,-0.0091,0.3250,2.5829,-0.0156,0.3250,0.3337,0.2941,0,126.9372,121.0507,71.5815,0,0,80,0.9871
