frame_id,timestamp_ms,x1,y1,x2,y2,status,track_state,occlusion_age,detector_source,x_cam,y_cam,z_cam,x_world,y_world,z_world,conf,x_world_raw,y_world_raw,z_world_raw,x_world_filt,y_world_filt,z_world_filt,sigma_x,sigma_y,sigma_z,mu_stationary,gate_d2
67,2236,688.43,476.97,1302.70,898.42,detected,CONFIRMED,0,blue_hsv_shape,0.0730,0.3768,2.5540,2.3695,-0.0730,0.3250,0.942,2.3767,-0.0684,0.3250,2.3695,-0.0730,0.3250,0.0391,0.0391,0.0391,0.497,0.0064
68,2269,688.46,476.98,1302.62,899.20,detected,CONFIRMED,0,blue_hsv_shape,0.0740,0.3777,2.5505,2.3659,-0.0740,0.3250,0.942,2.3737,-0.0683,0.3250,2.3659,-0.0740,0.3250,0.0391,0.0391,0.0391,0.516,0.0123
69,2302,688.49,476.89,1301.88,898.57,detected,CONFIRMED,0,blue_hsv_shape,0.0747,0.3783,2.5483,2.3636,-0.0747,0.3250,0.943,2.3761,-0.0676,0.3250,2.3636,-0.0747,0.3250,0.0391,0.0391,0.0391,0.545,0.0400
70,2336,689.00,476.79,1300.32,897.07,detected,CONFIRMED,0,blue_hsv_shape,0.0749,0.3785,2.5478,2.3630,-0.0749,0.3250,0.942,2.3820,-0.0668,0.3250,2.3630,-0.0749,0.3250,0.0391,0.0391,0.0391,0.587,0.0792
71,2369,688.27,476.79,1297.18,896.06,detected,CONFIRMED,0,blue_hsv_shape,0.0742,0.3783,2.5485,2.3637,-0.0742,0.3250,0.943,2.3860,-0.0631,0.3250,2.3637,-0.0742,0.3250,0.0391,0.0391,0.0391,0.637,0.0913
72,2402,687.86,476.83,1294.22,895.42,detected,CONFIRMED,0,blue_hsv_shape,0.0729,0.3779,2.5499,2.3652,-0.0729,0.3250,0.943,2.3886,-0.0599,0.3250,2.3652,-0.0729,0.3250,0.0391,0.0391,0.0391,0.691,0.0886
73,2436,687.75,476.89,1292.48,895.05,detected,STATIONARY,0,blue_hsv_shape,0.0712,0.3774,2.5517,2.3671,-0.0712,0.3250,0.943,2.3900,-0.0582,0.3250,2.3671,-0.0712,0.3250,0.0391,0.0391,0.0391,0.744,0.0762
74,2469,687.64,476.92,1289.56,894.36,detected,STATIONARY,0,blue_hsv_shape,0.0691,0.3768,2.5541,2.3696,-0.0691,0.3250,0.942,2.3928,-0.0553,0.3250,2.3696,-0.0691,0.3250,0.0391,0.0391,0.0391,0.797,0.0530
75,2503,687.55,477.27,1286.01,904.79,detected,STATIONARY,0,blue_hsv_shape,0.0663,0.3781,2.5493,2.3645,-0.0663,0.3250,0.920,2.3521,-0.0511,0.3250,2.3645,-0.0663,0.3250,0.0391,0.0391,0.0391,0.780,0.2959
76,2536,687.58,476.08,1282.39,890.25,detected,STATIONARY,0,blue_hsv_shape,0.0633,0.3765,2.5553,2.3708,-0.0633,0.3250,0.943,2.4091,-0.0486,0.3250,2.3708,-0.0633,0.3250,0.0391,0.0391,0.0391,0.859,0.3672
77,2569,686.75,475.32,1280.35,880.21,detected,STATIONARY,0,blue_hsv_shape,0.0601,0.3730,2.5683,2.3842,-0.0601,0.3250,0.940,2.4498,-0.0464,0.3250,2.3842,-0.0601,0.3250,0.0391,0.0391,0.0391,0.970,0.4638
